Author1,Author2,Shared Citations
Sumita Datta,R. L. Coldwell,3
A. Filinov,M. Bonitz,6
M. S. Pindzola,F. Robicheaux,10
S. Kazamias,D. Douillet,6
S. Kazamias,C. Valentin,6
S. Kazamias,F. Weihe,6
S. Kazamias,F. Augé,6
S. Kazamias,Th. Lefrou,6
S. Kazamias,G. Grillon,6
S. Kazamias,S. Sebban,6
S. Kazamias,Ph. Balcou,6
D. Douillet,C. Valentin,6
D. Douillet,F. Weihe,6
D. Douillet,F. Augé,6
D. Douillet,Th. Lefrou,6
D. Douillet,G. Grillon,6
D. Douillet,S. Sebban,6
D. Douillet,Ph. Balcou,6
C. Valentin,F. Weihe,6
C. Valentin,F. Augé,6
C. Valentin,Th. Lefrou,6
C. Valentin,G. Grillon,6
C. Valentin,S. Sebban,6
C. Valentin,Ph. Balcou,6
F. Weihe,F. Augé,6
F. Weihe,Th. Lefrou,6
F. Weihe,G. Grillon,6
F. Weihe,S. Sebban,6
F. Weihe,Ph. Balcou,6
F. Augé,Th. Lefrou,6
F. Augé,G. Grillon,6
F. Augé,S. Sebban,6
F. Augé,Ph. Balcou,6
Th. Lefrou,G. Grillon,6
Th. Lefrou,S. Sebban,6
Th. Lefrou,Ph. Balcou,6
G. Grillon,S. Sebban,6
G. Grillon,Ph. Balcou,6
S. Sebban,Ph. Balcou,6
A. Devdariani,T. M. Kereselidze,3
A. Devdariani,I. L. Noselidze,3
A. Devdariani,E. Dalimier,3
A. Devdariani,P. Sauvan,3
A. Devdariani,P. Angelo,3
A. Devdariani,R. Schott,3
T. M. Kereselidze,I. L. Noselidze,3
T. M. Kereselidze,E. Dalimier,3
T. M. Kereselidze,P. Sauvan,3
T. M. Kereselidze,P. Angelo,3
T. M. Kereselidze,R. Schott,3
I. L. Noselidze,E. Dalimier,3
I. L. Noselidze,P. Sauvan,3
I. L. Noselidze,P. Angelo,3
I. L. Noselidze,R. Schott,3
E. Dalimier,P. Sauvan,3
E. Dalimier,P. Angelo,3
E. Dalimier,R. Schott,3
P. Sauvan,P. Angelo,3
P. Sauvan,R. Schott,3
P. Angelo,R. Schott,3
Armando Perez-Leija,Robert Keil,2
Armando Perez-Leija,Hector Moya-Cessa,2
Armando Perez-Leija,Alexander Szameit,2
Armando Perez-Leija,Demetrios N. Christodoulides,2
Robert Keil,Hector Moya-Cessa,2
Robert Keil,Alexander Szameit,2
Robert Keil,Demetrios N. Christodoulides,2
Hector Moya-Cessa,Alexander Szameit,2
Hector Moya-Cessa,Demetrios N. Christodoulides,2
Alexander Szameit,Demetrios N. Christodoulides,2
Jagdish Rai,Suranjana Rai,7
Jagdish Rai,S. Chopra,7
Suranjana Rai,S. Chopra,7
M. Abdi,Sh. Barzanjeh,22
M. Abdi,P. Tombesi,22
M. Abdi,D. Vitali,22
Sh. Barzanjeh,P. Tombesi,22
Sh. Barzanjeh,D. Vitali,22
P. Tombesi,D. Vitali,22
Peace Chang,Chen-Shiung Hsue,8
Amitabha Chakrabarti,Raúl Toral,12
Amitabha Chakrabarti,James D. Gunton,12
Raúl Toral,James D. Gunton,12
C. Dorman,J. P. Marangos,11
Jan Friebe,André Pape,11
Jan Friebe,Matthias Riedmann,11
Jan Friebe,Karsten Moldenhauer,11
Jan Friebe,Tanja Mehlstäubler,11
Jan Friebe,Nils Rehbein,11
Jan Friebe,Christian Lisdat,11
Jan Friebe,Ernst M. Rasel,11
Jan Friebe,Wolfgang Ertmer,11
Jan Friebe,Harald Schnatz,11
Jan Friebe,Burghard Lipphardt,11
Jan Friebe,Gesine Grosche,11
André Pape,Matthias Riedmann,11
André Pape,Karsten Moldenhauer,11
André Pape,Tanja Mehlstäubler,11
André Pape,Nils Rehbein,11
André Pape,Christian Lisdat,11
André Pape,Ernst M. Rasel,11
André Pape,Wolfgang Ertmer,11
André Pape,Harald Schnatz,11
André Pape,Burghard Lipphardt,11
André Pape,Gesine Grosche,11
Matthias Riedmann,Karsten Moldenhauer,11
Matthias Riedmann,Tanja Mehlstäubler,11
Matthias Riedmann,Nils Rehbein,11
Matthias Riedmann,Christian Lisdat,11
Matthias Riedmann,Ernst M. Rasel,11
Matthias Riedmann,Wolfgang Ertmer,11
Matthias Riedmann,Harald Schnatz,11
Matthias Riedmann,Burghard Lipphardt,11
Matthias Riedmann,Gesine Grosche,11
Karsten Moldenhauer,Tanja Mehlstäubler,11
Karsten Moldenhauer,Nils Rehbein,11
Karsten Moldenhauer,Christian Lisdat,11
Karsten Moldenhauer,Ernst M. Rasel,11
Karsten Moldenhauer,Wolfgang Ertmer,11
Karsten Moldenhauer,Harald Schnatz,11
Karsten Moldenhauer,Burghard Lipphardt,11
Karsten Moldenhauer,Gesine Grosche,11
Tanja Mehlstäubler,Nils Rehbein,11
Tanja Mehlstäubler,Christian Lisdat,11
Tanja Mehlstäubler,Ernst M. Rasel,11
Tanja Mehlstäubler,Wolfgang Ertmer,11
Tanja Mehlstäubler,Harald Schnatz,11
Tanja Mehlstäubler,Burghard Lipphardt,11
Tanja Mehlstäubler,Gesine Grosche,11
Nils Rehbein,Christian Lisdat,11
Nils Rehbein,Ernst M. Rasel,11
Nils Rehbein,Wolfgang Ertmer,11
Nils Rehbein,Harald Schnatz,11
Nils Rehbein,Burghard Lipphardt,11
Nils Rehbein,Gesine Grosche,11
Christian Lisdat,Ernst M. Rasel,11
Christian Lisdat,Wolfgang Ertmer,11
Christian Lisdat,Harald Schnatz,11
Christian Lisdat,Burghard Lipphardt,11
Christian Lisdat,Gesine Grosche,11
Ernst M. Rasel,Wolfgang Ertmer,11
Ernst M. Rasel,Harald Schnatz,11
Ernst M. Rasel,Burghard Lipphardt,11
Ernst M. Rasel,Gesine Grosche,11
Wolfgang Ertmer,Harald Schnatz,11
Wolfgang Ertmer,Burghard Lipphardt,11
Wolfgang Ertmer,Gesine Grosche,11
Harald Schnatz,Burghard Lipphardt,11
Harald Schnatz,Gesine Grosche,11
Burghard Lipphardt,Gesine Grosche,11
Nurit Lipkin,Nimrod Moiseyev,21
Nurit Lipkin,Erkki Brändas,21
Nimrod Moiseyev,Erkki Brändas,21
Yun Pan,Song-Feng Zhao,7
Yun Pan,Xiao-Xin Zhou,7
Song-Feng Zhao,Xiao-Xin Zhou,7
Mel Levy,John P. Perdew,402
Mel Levy,Viraht Sahni,402
John P. Perdew,Viraht Sahni,402
M. V. Fedorov,N. P. Poluektov,4
Mohamed Bourennane,Anders Karlsson,118
Mohamed Bourennane,Gunnar Björk,118
Anders Karlsson,Gunnar Björk,118
W. Dür,R. Raussendorf,136
W. Dür,V. M. Kendon,136
W. Dür,H.-J. Briegel,136
R. Raussendorf,V. M. Kendon,136
R. Raussendorf,H.-J. Briegel,136
V. M. Kendon,H.-J. Briegel,136
Piotr S. Zuchowski,R. Guérout,2
Piotr S. Zuchowski,O. Dulieu,2
R. Guérout,O. Dulieu,2
R. Rossignoli,A. M. Kowalski,10
Makoto Yamashita,Susumu Machida,1
Makoto Yamashita,Takaaki Mukai,1
Susumu Machida,Takaaki Mukai,1
J. D. Knight,C. J. Orth,35
J. D. Knight,M. E. Schillaci,35
J. D. Knight,R. A. Naumann,35
J. D. Knight,H. Daniel,35
J. D. Knight,K. Springer,35
J. D. Knight,H. B. Knowles,35
C. J. Orth,M. E. Schillaci,35
C. J. Orth,R. A. Naumann,35
C. J. Orth,H. Daniel,35
C. J. Orth,K. Springer,35
C. J. Orth,H. B. Knowles,35
M. E. Schillaci,R. A. Naumann,35
M. E. Schillaci,H. Daniel,35
M. E. Schillaci,K. Springer,35
M. E. Schillaci,H. B. Knowles,35
R. A. Naumann,H. Daniel,35
R. A. Naumann,K. Springer,35
R. A. Naumann,H. B. Knowles,35
H. Daniel,K. Springer,35
H. Daniel,H. B. Knowles,35
K. Springer,H. B. Knowles,35
Donald G. Truhlar,Richard L. Smith,5
Heung-Ryoul Noh,Kazuko Shimizu,19
Heung-Ryoul Noh,Fujio Shimizu,19
Kazuko Shimizu,Fujio Shimizu,19
E. Gershnabel,I. Sh. Averbukh,20
A. I. Khibnik,Y. Braiman,7
A. I. Khibnik,V. Protopopescu,7
A. I. Khibnik,T. A. B. Kennedy,7
A. I. Khibnik,K. Wiesenfeld,7
Y. Braiman,V. Protopopescu,7
Y. Braiman,T. A. B. Kennedy,7
Y. Braiman,K. Wiesenfeld,7
V. Protopopescu,T. A. B. Kennedy,7
V. Protopopescu,K. Wiesenfeld,7
T. A. B. Kennedy,K. Wiesenfeld,7
Kaoru Sanaka,Karin Kawahara,16
Kaoru Sanaka,Takahiro Kuga,16
Karin Kawahara,Takahiro Kuga,16
Yuichiro Matsuzaki,Simon C. Benjamin,2
Yuichiro Matsuzaki,Joseph Fitzsimons,2
Simon C. Benjamin,Joseph Fitzsimons,2
J. L. Mauer,G. J. Schulz,24
K. E. Banyard,B. J. Szuster,11
Yong Li,Lian-Ao Wu,42
Yong Li,Z. D. Wang,42
Lian-Ao Wu,Z. D. Wang,42
J. Reinhardt,B. Müller,5
J. Reinhardt,W. Greiner,5
J. Reinhardt,U. Müller,5
B. Müller,W. Greiner,5
B. Müller,U. Müller,5
W. Greiner,U. Müller,5
Adam J. Makowski,Piotr Peplowski,1
A. N. Agnihotri,S. Kasthurirangan,14
A. N. Agnihotri,S. Nandi,14
A. N. Agnihotri,A. Kumar,14
A. N. Agnihotri,M. E. Galassi,14
A. N. Agnihotri,R. D. Rivarola,14
A. N. Agnihotri,O. Fojón,14
A. N. Agnihotri,C. Champion,14
A. N. Agnihotri,J. Hanssen,14
A. N. Agnihotri,H. Lekadir,14
A. N. Agnihotri,P. F. Weck,14
A. N. Agnihotri,L. C. Tribedi,14
S. Kasthurirangan,S. Nandi,14
S. Kasthurirangan,A. Kumar,14
S. Kasthurirangan,M. E. Galassi,14
S. Kasthurirangan,R. D. Rivarola,14
S. Kasthurirangan,O. Fojón,14
S. Kasthurirangan,C. Champion,14
S. Kasthurirangan,J. Hanssen,14
S. Kasthurirangan,H. Lekadir,14
S. Kasthurirangan,P. F. Weck,14
S. Kasthurirangan,L. C. Tribedi,14
S. Nandi,A. Kumar,14
S. Nandi,M. E. Galassi,14
S. Nandi,R. D. Rivarola,14
S. Nandi,O. Fojón,14
S. Nandi,C. Champion,14
S. Nandi,J. Hanssen,14
S. Nandi,H. Lekadir,14
S. Nandi,P. F. Weck,14
S. Nandi,L. C. Tribedi,14
A. Kumar,M. E. Galassi,14
A. Kumar,R. D. Rivarola,14
A. Kumar,O. Fojón,14
A. Kumar,C. Champion,14
A. Kumar,J. Hanssen,14
A. Kumar,H. Lekadir,14
A. Kumar,P. F. Weck,14
A. Kumar,L. C. Tribedi,14
M. E. Galassi,R. D. Rivarola,14
M. E. Galassi,O. Fojón,14
M. E. Galassi,C. Champion,14
M. E. Galassi,J. Hanssen,14
M. E. Galassi,H. Lekadir,14
M. E. Galassi,P. F. Weck,14
M. E. Galassi,L. C. Tribedi,14
R. D. Rivarola,O. Fojón,14
R. D. Rivarola,C. Champion,14
R. D. Rivarola,J. Hanssen,14
R. D. Rivarola,H. Lekadir,14
R. D. Rivarola,P. F. Weck,14
R. D. Rivarola,L. C. Tribedi,14
O. Fojón,C. Champion,14
O. Fojón,J. Hanssen,14
O. Fojón,H. Lekadir,14
O. Fojón,P. F. Weck,14
O. Fojón,L. C. Tribedi,14
C. Champion,J. Hanssen,14
C. Champion,H. Lekadir,14
C. Champion,P. F. Weck,14
C. Champion,L. C. Tribedi,14
J. Hanssen,H. Lekadir,14
J. Hanssen,P. F. Weck,14
J. Hanssen,L. C. Tribedi,14
H. Lekadir,P. F. Weck,14
H. Lekadir,L. C. Tribedi,14
P. F. Weck,L. C. Tribedi,14
Jun-Tao Chang,Jörg Evers,17
Jun-Tao Chang,M. Suhail Zubairy,17
Jörg Evers,M. Suhail Zubairy,17
S. Amador,P. S. Pershan,26
S. Amador,H. Stragier,26
S. Amador,B. D. Swanson,26
S. Amador,D. J. Tweet,26
S. Amador,L. B. Sorensen,26
S. Amador,E. B. Sirota,26
S. Amador,G. E. Ice,26
S. Amador,A. Habenschuss,26
P. S. Pershan,H. Stragier,26
P. S. Pershan,B. D. Swanson,26
P. S. Pershan,D. J. Tweet,26
P. S. Pershan,L. B. Sorensen,26
P. S. Pershan,E. B. Sirota,26
P. S. Pershan,G. E. Ice,26
P. S. Pershan,A. Habenschuss,26
H. Stragier,B. D. Swanson,26
H. Stragier,D. J. Tweet,26
H. Stragier,L. B. Sorensen,26
H. Stragier,E. B. Sirota,26
H. Stragier,G. E. Ice,26
H. Stragier,A. Habenschuss,26
B. D. Swanson,D. J. Tweet,26
B. D. Swanson,L. B. Sorensen,26
B. D. Swanson,E. B. Sirota,26
B. D. Swanson,G. E. Ice,26
B. D. Swanson,A. Habenschuss,26
D. J. Tweet,L. B. Sorensen,26
D. J. Tweet,E. B. Sirota,26
D. J. Tweet,G. E. Ice,26
D. J. Tweet,A. Habenschuss,26
L. B. Sorensen,E. B. Sirota,26
L. B. Sorensen,G. E. Ice,26
L. B. Sorensen,A. Habenschuss,26
E. B. Sirota,G. E. Ice,26
E. B. Sirota,A. Habenschuss,26
G. E. Ice,A. Habenschuss,26
M. Ziman,P. ?telmachovic,45
M. Ziman,V. Bu?ek,45
M. Ziman,M. Hillery,45
M. Ziman,V. Scarani,45
M. Ziman,N. Gisin,45
P. ?telmachovic,V. Bu?ek,45
P. ?telmachovic,M. Hillery,45
P. ?telmachovic,V. Scarani,45
P. ?telmachovic,N. Gisin,45
V. Bu?ek,M. Hillery,45
V. Bu?ek,V. Scarani,45
V. Bu?ek,N. Gisin,45
M. Hillery,V. Scarani,45
M. Hillery,N. Gisin,45
V. Scarani,N. Gisin,45
Jing-Ling Chen,Dong-Ling Deng,11
Jing-Ling Chen,Hong-Yi Su,11
Jing-Ling Chen,Chunfeng Wu,11
Jing-Ling Chen,C. H. Oh,11
Dong-Ling Deng,Hong-Yi Su,11
Dong-Ling Deng,Chunfeng Wu,11
Dong-Ling Deng,C. H. Oh,11
Hong-Yi Su,Chunfeng Wu,11
Hong-Yi Su,C. H. Oh,11
Chunfeng Wu,C. H. Oh,11
Roderick V. Reid, Jr.,23
Jens Braun,Joaquín E. Drut,3
Jens Braun,Thomas Jahn,3
Jens Braun,Martin Pospiech,3
Jens Braun,Dietrich Roscher,3
Joaquín E. Drut,Thomas Jahn,3
Joaquín E. Drut,Martin Pospiech,3
Joaquín E. Drut,Dietrich Roscher,3
Thomas Jahn,Martin Pospiech,3
Thomas Jahn,Dietrich Roscher,3
Martin Pospiech,Dietrich Roscher,3
M. Gronchi,L. A. Lugiato,3
M. Gronchi,P. Butera,3
L. A. Lugiato,P. Butera,3
Inés de Vega,Daniel Alonso,18
Hamidreza Ramezani,Tsampikos Kottos,171
Hamidreza Ramezani,Ramy El-Ganainy,171
Hamidreza Ramezani,Demetrios N. Christodoulides,171
Tsampikos Kottos,Ramy El-Ganainy,171
Tsampikos Kottos,Demetrios N. Christodoulides,171
Ramy El-Ganainy,Demetrios N. Christodoulides,171
D. Bauer,D. B. Milo?evic,78
D. Bauer,W. Becker,78
D. B. Milo?evic,W. Becker,78
D. S. Tasca,S. P. Walborn,14
D. S. Tasca,P. H. Souto Ribeiro,14
D. S. Tasca,F. Toscano,14
S. P. Walborn,P. H. Souto Ribeiro,14
S. P. Walborn,F. Toscano,14
P. H. Souto Ribeiro,F. Toscano,14
Jae-Seung Lee,Kate E. Cardwell,2
Jae-Seung Lee,A. K. Khitrin,2
Kate E. Cardwell,A. K. Khitrin,2
Dehua Wang,Shiliang Ding,4
Yu-xi Liu,Chang-qi Cao,9
Yu-xi Liu,Hui Cao,9
Chang-qi Cao,Hui Cao,9
K.-J. Schmitt,P.-G. Reinhard,6
K.-J. Schmitt,C. Toepffer,6
P.-G. Reinhard,C. Toepffer,6
Klaus Eidner,M. Lewis,19
Klaus Eidner,H. K. M. Vithana,19
Klaus Eidner,D. L. Johnson,19
M. Lewis,H. K. M. Vithana,19
M. Lewis,D. L. Johnson,19
H. K. M. Vithana,D. L. Johnson,19
K. I. Petsas,A. B. Coates,127
K. I. Petsas,G. Grynberg,127
A. B. Coates,G. Grynberg,127
Rajkumar Roychoudhury,Y. P. Varshni,31
Rajkumar Roychoudhury,Manasi Sengupta,31
Y. P. Varshni,Manasi Sengupta,31
Iván Scivetti,Jorge Kohanoff,4
Iván Scivetti,Nikitas I. Gidopoulos,4
Jorge Kohanoff,Nikitas I. Gidopoulos,4
Jesús Cuevas,Panayotis G. Kevrekidis,6
Jesús Cuevas,Avadh Saxena,6
Jesús Cuevas,Avinash Khare,6
Panayotis G. Kevrekidis,Avadh Saxena,6
Panayotis G. Kevrekidis,Avinash Khare,6
Avadh Saxena,Avinash Khare,6
Iwo Bialynicki-Birula,Zofia Bialynicka-Birula,4
Kate L. Nixon,Andrew James Murray,2
D. M. Jezek,M. Barranco,22
D. M. Jezek,M. Guilleumas,22
D. M. Jezek,R. Mayol,22
D. M. Jezek,M. Pi,22
M. Barranco,M. Guilleumas,22
M. Barranco,R. Mayol,22
M. Barranco,M. Pi,22
M. Guilleumas,R. Mayol,22
M. Guilleumas,M. Pi,22
R. Mayol,M. Pi,22
Janika Paavola,Michael J. W. Hall,9
Janika Paavola,Matteo G. A. Paris,9
Janika Paavola,Sabrina Maniscalco,9
Michael J. W. Hall,Matteo G. A. Paris,9
Michael J. W. Hall,Sabrina Maniscalco,9
Matteo G. A. Paris,Sabrina Maniscalco,9
N. H. Burnett,C. Kan,45
N. H. Burnett,P. B. Corkum,45
C. Kan,P. B. Corkum,45
Ming-Liang Hu,Heng Fan,9
Wen-Shyan Sheu,Katja Lindenberg,31
Wen-Shyan Sheu,Raoul Kopelman,31
Katja Lindenberg,Raoul Kopelman,31
J. J. Rehr,N. D. Mermin,122
C. F. Melius,W. A. Goddard,79
C. F. Melius, III,79
W. A. Goddard, III,79
Shesha Raghunathan,Todd A. Brun,1
Shesha Raghunathan,Hsi-Sheng Goan,1
Todd A. Brun,Hsi-Sheng Goan,1
N. A. Clark,T. P. Rieker,1
M. S. Gravielle,J. E. Miraglia,4
A. J. Scroggie,W. J. Firth,16
A. J. Scroggie,G.-L. Oppo,16
W. J. Firth,G.-L. Oppo,16
Reiko Suzuki,Sachchida N. Rai,6
Reiko Suzuki,Heinz-Peter Liebermann,6
Reiko Suzuki,Robert J. Buenker,6
Reiko Suzuki,Luká? Pichl,6
Reiko Suzuki,Mineo Kimura,6
Sachchida N. Rai,Heinz-Peter Liebermann,6
Sachchida N. Rai,Robert J. Buenker,6
Sachchida N. Rai,Luká? Pichl,6
Sachchida N. Rai,Mineo Kimura,6
Heinz-Peter Liebermann,Robert J. Buenker,6
Heinz-Peter Liebermann,Luká? Pichl,6
Heinz-Peter Liebermann,Mineo Kimura,6
Robert J. Buenker,Luká? Pichl,6
Robert J. Buenker,Mineo Kimura,6
Luká? Pichl,Mineo Kimura,6
Zhen-sheng Yuan,Xiao-ying Han,9
Zhen-sheng Yuan,Xiao-jing Liu,9
Zhen-sheng Yuan,Lin-fan Zhu,9
Zhen-sheng Yuan,Ke-zun Xu,9
Zhen-sheng Yuan,Lan Voky,9
Zhen-sheng Yuan,Jia-ming Li,9
Xiao-ying Han,Xiao-jing Liu,9
Xiao-ying Han,Lin-fan Zhu,9
Xiao-ying Han,Ke-zun Xu,9
Xiao-ying Han,Lan Voky,9
Xiao-ying Han,Jia-ming Li,9
Xiao-jing Liu,Lin-fan Zhu,9
Xiao-jing Liu,Ke-zun Xu,9
Xiao-jing Liu,Lan Voky,9
Xiao-jing Liu,Jia-ming Li,9
Lin-fan Zhu,Ke-zun Xu,9
Lin-fan Zhu,Lan Voky,9
Lin-fan Zhu,Jia-ming Li,9
Ke-zun Xu,Lan Voky,9
Ke-zun Xu,Jia-ming Li,9
Lan Voky,Jia-ming Li,9
P. K. Bhattacharyya,K. K. Goswami,13
P. K. Bhattacharyya,A. S. Ghosh,13
K. K. Goswami,A. S. Ghosh,13
S. G. Porsev,M. S. Safronova,1
S. G. Porsev,A. Derevianko,1
S. G. Porsev,Charles W. Clark,1
M. S. Safronova,A. Derevianko,1
M. S. Safronova,Charles W. Clark,1
A. Derevianko,Charles W. Clark,1
Warren Ong,Steven T. Manson,19
Susan M. Tarr,James A. Schiavone,3
Susan M. Tarr,Robert S. Freund,3
James A. Schiavone,Robert S. Freund,3
Hui Ou-Yang,Mel Levy,23
S. Hannemann,E. J. Salumbides,14
S. Hannemann,S. Witte,14
S. Hannemann,R. Th. Zinkstok,14
S. Hannemann,E.-J. van Duijn,14
S. Hannemann,K. S. E. Eikema,14
S. Hannemann,W. Ubachs,14
E. J. Salumbides,S. Witte,14
E. J. Salumbides,R. Th. Zinkstok,14
E. J. Salumbides,E.-J. van Duijn,14
E. J. Salumbides,K. S. E. Eikema,14
E. J. Salumbides,W. Ubachs,14
S. Witte,R. Th. Zinkstok,14
S. Witte,E.-J. van Duijn,14
S. Witte,K. S. E. Eikema,14
S. Witte,W. Ubachs,14
R. Th. Zinkstok,E.-J. van Duijn,14
R. Th. Zinkstok,K. S. E. Eikema,14
R. Th. Zinkstok,W. Ubachs,14
E.-J. van Duijn,K. S. E. Eikema,14
E.-J. van Duijn,W. Ubachs,14
K. S. E. Eikema,W. Ubachs,14
Rekishu Yamazaki,D. S. Elliott,2
Gunadya Bandarage,Alfred Maquet,47
Gunadya Bandarage,Thierry Ménis,47
Gunadya Bandarage,Richard Taïeb,47
Gunadya Bandarage,Valérie Véniard,47
Gunadya Bandarage,J. Cooper,47
Alfred Maquet,Thierry Ménis,47
Alfred Maquet,Richard Taïeb,47
Alfred Maquet,Valérie Véniard,47
Alfred Maquet,J. Cooper,47
Thierry Ménis,Richard Taïeb,47
Thierry Ménis,Valérie Véniard,47
Thierry Ménis,J. Cooper,47
Richard Taïeb,Valérie Véniard,47
Richard Taïeb,J. Cooper,47
Valérie Véniard,J. Cooper,47
G. Barbero,E. Miraldi,3
G. Barbero,C. Oldano,3
E. Miraldi,C. Oldano,3
Zhongyuan Zhou,Shih-I Chu,14
Robert J. Lang,Amnon Yariv,8
T. Carlsson,B. Zeks,87
T. Carlsson,A. Levstik,87
T. Carlsson,C. Filipic,87
T. Carlsson,I. Levstik,87
T. Carlsson,R. Blinc,87
B. Zeks,A. Levstik,87
B. Zeks,C. Filipic,87
B. Zeks,I. Levstik,87
B. Zeks,R. Blinc,87
A. Levstik,C. Filipic,87
A. Levstik,I. Levstik,87
A. Levstik,R. Blinc,87
C. Filipic,I. Levstik,87
C. Filipic,R. Blinc,87
I. Levstik,R. Blinc,87
Xudong Fan,Hailin Wang,10
Xudong Fan,H. Q. Hou,10
Xudong Fan,B. E. Hammons,10
Hailin Wang,H. Q. Hou,10
Hailin Wang,B. E. Hammons,10
H. Q. Hou,B. E. Hammons,10
V. A. Dzuba,W. R. Johnson,6
Jacek Bieron,Pekka Pyykkö,32
Jacek Bieron,Dage Sundholm,32
Jacek Bieron,Vladimir Kellö,32
Jacek Bieron,Andrzej J. Sadlej,32
Pekka Pyykkö,Dage Sundholm,32
Pekka Pyykkö,Vladimir Kellö,32
Pekka Pyykkö,Andrzej J. Sadlej,32
Dage Sundholm,Vladimir Kellö,32
Dage Sundholm,Andrzej J. Sadlej,32
Vladimir Kellö,Andrzej J. Sadlej,32
K. Hammerer,E. S. Polzik,30
K. Hammerer,J. I. Cirac,30
E. S. Polzik,J. I. Cirac,30
B. Siegmann,U. Werner,22
B. Siegmann,Z. Kaliman,22
B. Siegmann,Z. Roller-Lutz,22
B. Siegmann,N. M. Kabachnik,22
B. Siegmann,H. O. Lutz,22
U. Werner,Z. Kaliman,22
U. Werner,Z. Roller-Lutz,22
U. Werner,N. M. Kabachnik,22
U. Werner,H. O. Lutz,22
Z. Kaliman,Z. Roller-Lutz,22
Z. Kaliman,N. M. Kabachnik,22
Z. Kaliman,H. O. Lutz,22
Z. Roller-Lutz,N. M. Kabachnik,22
Z. Roller-Lutz,H. O. Lutz,22
N. M. Kabachnik,H. O. Lutz,22
J. Hack,L. Liu,10
J. Hack,M. Olshanii,10
J. Hack,H. Metcalf,10
L. Liu,M. Olshanii,10
L. Liu,H. Metcalf,10
M. Olshanii,H. Metcalf,10
Steven Bryant,Martin Blunt,139
G. Ferrari,R. E. Drullinger,20
G. Ferrari,N. Poli,20
G. Ferrari,F. Sorrentino,20
G. Ferrari,G. M. Tino,20
R. E. Drullinger,N. Poli,20
R. E. Drullinger,F. Sorrentino,20
R. E. Drullinger,G. M. Tino,20
N. Poli,F. Sorrentino,20
N. Poli,G. M. Tino,20
F. Sorrentino,G. M. Tino,20
R. Burlon,C. Leone,9
R. Burlon,S. Basile,9
R. Burlon,F. Trombetta,9
R. Burlon,G. Ferrante,9
C. Leone,S. Basile,9
C. Leone,F. Trombetta,9
C. Leone,G. Ferrante,9
S. Basile,F. Trombetta,9
S. Basile,G. Ferrante,9
F. Trombetta,G. Ferrante,9
K. Wódkiewicz,B. W. Shore,82
K. Wódkiewicz,J. H. Eberly,82
B. W. Shore,J. H. Eberly,82
Sandu Popescu,Lev Vaidman,21
R. Lear,Tom J. Gray,46
B. W. Harris,F. Chen,246
B. W. Harris,U. Mohideen,246
F. Chen,U. Mohideen,246
Christopher C. Gerry,Charles Johnson,2
M. Crance,S. Feneuille,37
G. Das,Arnold C. Wahl,56
I. E. McCarthy,J. Mitroy,12
H. de Riedmatten,I. Marcikic,57
H. de Riedmatten,W. Tittel,57
H. de Riedmatten,H. Zbinden,57
H. de Riedmatten,N. Gisin,57
I. Marcikic,W. Tittel,57
I. Marcikic,H. Zbinden,57
I. Marcikic,N. Gisin,57
W. Tittel,H. Zbinden,57
W. Tittel,N. Gisin,57
H. Zbinden,N. Gisin,57
Matt Mackie,Olavi Dannenberg,7
Matt Mackie,Jyrki Piilo,7
Matt Mackie,Kalle-Antti Suominen,7
Matt Mackie,Juha Javanainen,7
Olavi Dannenberg,Jyrki Piilo,7
Olavi Dannenberg,Kalle-Antti Suominen,7
Olavi Dannenberg,Juha Javanainen,7
Jyrki Piilo,Kalle-Antti Suominen,7
Jyrki Piilo,Juha Javanainen,7
Kalle-Antti Suominen,Juha Javanainen,7
H. Jay Zwally,David W. Koopman,35
Chen Guo-xin,P. P. Ong,2
G. Zampieri,F. Meier,70
G. Zampieri,R. Baragiola,70
F. Meier,R. Baragiola,70
G. Nounesis,C. C. Huang,9
G. Nounesis,T. Pitchford,9
G. Nounesis,E. Hobbie,9
G. Nounesis,S. T. Lagerwall,9
C. C. Huang,T. Pitchford,9
C. C. Huang,E. Hobbie,9
C. C. Huang,S. T. Lagerwall,9
T. Pitchford,E. Hobbie,9
T. Pitchford,S. T. Lagerwall,9
E. Hobbie,S. T. Lagerwall,9
Michael A. Morrison,Weiguo Sun,15
Michael A. Morrison,William A. Isaacs,15
Michael A. Morrison,Wayne K. Trail,15
Weiguo Sun,William A. Isaacs,15
Weiguo Sun,Wayne K. Trail,15
William A. Isaacs,Wayne K. Trail,15
Xiao-Ming Lu,Shunlong Luo,8
Xiao-Ming Lu,C. H. Oh,8
Shunlong Luo,C. H. Oh,8
Sabri W. Al-Safi,Anthony J. Short,4
M. Q. Tran,S. Coquerand,17
Xiang-Bin Wang,J. Q. You,39
Xiang-Bin Wang,Franco Nori,39
J. Q. You,Franco Nori,39
P. Pedri,S. De Palo,24
P. Pedri,E. Orignac,24
P. Pedri,R. Citro,24
P. Pedri,M. L. Chiofalo,24
S. De Palo,E. Orignac,24
S. De Palo,R. Citro,24
S. De Palo,M. L. Chiofalo,24
E. Orignac,R. Citro,24
E. Orignac,M. L. Chiofalo,24
R. Citro,M. L. Chiofalo,24
M. S. Pindzola,D. C. Griffin,27
M. S. Pindzola,C. Bottcher,27
D. C. Griffin,C. Bottcher,27
